Artist name,Song name,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration(ms),Track URI,TopList,Year
The Strokes,50/50,0.491,0.93,11,-6.412,0,0.0347,4.23e-05,0.612,0.219,0.623,99.924,163227,spotify:track:5MPryR3oJGmWnSYM7X2GGE,no,2013
Radio Radio,50 Shades of Beige,0.703,0.7,2,-6.152,1,0.135,0.049,0,0.365,0.512,119.966,208248,spotify:track:4ymUtICOpIlyvFf3URM7XZ,no,2014
The Strokes,80's Comedown Machine,0.488,0.503,0,-8.89,1,0.0326,0.00583,0.809,0.101,0.38,144.035,298613,spotify:track:2lffRiAET2Xt6BNb4EmkS2,no,2013
Mac DeMarco,96.7 The Pipe,0.583,0.917,6,-8.96,0,0.567,0.493,0.0608,0.296,0.44,171.157,34014,spotify:track:3oQ52Mqz2ih8KjligVoQrG,no,2012
Mac DeMarco,106.2 Breeze FM,0.487,0.753,6,-10.533,0,0.306,0.665,0.00144,0.231,0.847,112.907,60642,spotify:track:5h8G81Ls00kyf1UEen0gBB,no,2012
Jake Shimabukuro,143 (Kelly's song) 2011,0.37,0.361,9,-12.271,1,0.0321,0.81,0.87,0.113,0.479,66.409,266066,spotify:track:6Tq4LginUMBOgZrUs8M40h,no,2011
Lorde,400 Lux,0.512,0.474,2,-8.36,1,0.0371,0.0787,0.00345,0.134,0.194,183.991,234286,spotify:track:7ynvnjTj1XI8ByUq3F8MUw,no,2013
The Whitest Boy Alive,1517,0.784,0.539,11,-7.676,0,0.0406,0.317,0.377,0.0989,0.962,122.53,221227,spotify:track:4wHh4AljzbSGMJvynLgK1q,no,2009
Jean Leloup,1990 (Danse Mix),0.6,0.939,2,-5.713,1,0.0746,0.000559,0,0.0947,0.648,121.846,308427,spotify:track:2UFEbNhbk9GsxCigXPq3XI,no,2005
Cage The Elephant,2024,0.243,0.984,10,-3.384,0,0.323,2.32e-05,0.00938,0.131,0.239,180.979,190333,spotify:track:7IcXkPWjwqUCCkI2mUf02h,no,2011
John Williams,The Abduction,0.159,0.23,2,-15.441,0,0.033,0.672,0.848,0.0951,0.0632,84.933,145293,spotify:track:2vEkF5UazjaBL6CpG2BZgq,no,2015
Cage The Elephant,Aberdeen,0.154,0.972,7,-3.626,1,0.111,0.000913,0.247,0.368,0.213,205.467,192920,spotify:track:6GWS0Nb3ybf3tQXZ0FlfZf,no,2011
The Whitest Boy Alive,Above You,0.725,0.774,4,-6.402,0,0.174,0.135,0.126,0.0844,0.72,78.976,194960,spotify:track:5FcjGGKpQx6dvuGcbAcFtC,no,2006
Sufjan Stevens,Abraham,0.365,0.0299,6,-20.546,1,0.0709,0.946,0.49,0.111,0.255,80.762,153693,spotify:track:4YpfqCRwb3ttShlTNaB2jU,no,2004
The Beatles,Across The Universe - Take 2 / Anthology 2 Version,0.488,0.341,2,-11.907,1,0.0256,0.681,0,0.0844,0.463,79.377,212120,spotify:track:00fyPXxe2SCBHnFwEO9Eh1,no,1996
The Beatles,Across The Universe - World Wildlife Fund Version / Remastered 2009,0.461,0.575,10,-10.709,1,0.0538,0.517,0,0.138,0.549,82.634,229173,spotify:track:691jw4auDZjaTOwUJmtoSy,no,1988
The Beatles,Across The Universe - Remastered 2009,0.257,0.412,1,-11.788,1,0.0287,0.361,8.68e-05,0.0702,0.858,152.126,228133,spotify:track:4dkoqJrP0L8FXftrMZongF,no,1970
The Beatles,Across The Universe - Remastered 2009,0.252,0.395,1,-12.323,1,0.0283,0.405,0.000119,0.0635,0.84,154.06,229787,spotify:track:2Yh0H2OXI2UItG9GGfQzlK,no,1973
The Beatles,Act Naturally - Remastered 2009,0.702,0.447,7,-10.122,1,0.0308,0.366,0,0.153,0.944,93.02,150373,spotify:track:0IxxqsYBcCHEQ1HqLYJnwx,no,1965
Lester Young,Ad Lib Blues,0.704,0.317,0,-13.127,1,0.0551,0.956,0.499,0.139,0.783,108.165,354333,spotify:track:1aQmitUScES0kpdge6BtF4,no,1997
Alvvays,Adult Diversion,0.327,0.948,8,-4.355,1,0.0711,0.0355,0.515,0.126,0.469,177.328,207640,spotify:track:22cDldSuj9rgIMXwn4Ofn0,no,2014
Patrick Watson,Adventures in Your Own Backyard,0.353,0.547,5,-9.793,0,0.0364,0.126,0.116,0.323,0.213,146.043,291440,spotify:track:5MbRyPfgokD3c6nxCV7TFG,no,2012
Daft Punk,Aerodynamic,0.624,0.911,7,-7.482,1,0.0524,0.328,0.861,0.0727,0.135,122.902,212547,spotify:track:3H3cOQ6LBLSvmcaV7QkZEu,no,2001
Hans Zimmer,Afraid of Time,0.251,0.00342,9,-38.794,0,0.0433,0.919,0.0255,0.117,0.0504,119.997,152673,spotify:track:3Vef8GlFWEzrP23UwHjWWl,no,2014
Arcade Fire,Afterlife,0.638,0.873,11,-5.545,1,0.0363,0.0943,0.0395,0.226,0.682,115.95,352755,spotify:track:6D43oUO6nImERk2psfXdNY,no,2013
Sufjan Stevens,Ah Holy Jesus,0.161,0.176,8,-14.604,1,0.0446,0.986,0.000232,0.178,0.0808,67.503,161653,spotify:track:7H819kvtogxVpKDFplUFKc,no,2012
Sufjan Stevens,Ah Holy Jesus (a capella),0.16,0.17,8,-20.478,1,0.0376,0.994,0.763,0.0941,0.0399,134.526,59880,spotify:track:67kwRadxmmURPuWIpEyymY,no,2012
Sufjan Stevens,Ah Holy Jesus (with reed organ),0.296,0.164,5,-12.602,0,0.0348,0.959,0,0.201,0.253,85.346,88800,spotify:track:1FEYWXG23hr3m2vXHpbZeq,no,2012
Cage The Elephant,Ain't No Rest For The Wicked,0.639,0.908,0,-5.575,1,0.138,0.0735,0,0.553,0.926,156.029,175467,spotify:track:1SfOQKZv0c9FqNXd2Kjt6P,no,2009
The Beatles,Ain't She Sweet - Anthology 1 Version,0.495,0.854,4,-5.699,1,0.0434,0.208,0,0.0371,0.819,77.967,133347,spotify:track:3OUpVpFeNx5jeInhHqiNfs,no,1995
The Beatles,Ain't She Sweet - Anthology 3 Version,0.81,0.502,4,-10.399,1,0.0541,0.0805,0.0564,0.177,0.685,121.466,128480,spotify:track:2zsz6dip4W83IlAgp2zP4Y,no,1996
Radiohead,Airbag,0.306,0.872,2,-7.313,1,0.05,0.00792,0.8,0.261,0.648,167.946,287880,spotify:track:3OsUjkcv1C1v5udFhgRSFg,no,1997
Karkwa,À La Chaîne,0.314,0.874,9,-6.33,1,0.0398,0.05,0.0784,0.411,0.398,159.829,265573,spotify:track:2Ol6GoKiAvPOyk52QIQvf7,no,2008
Karkwa,Alaska,0.216,0.517,2,-8.211,0,0.0325,0.0366,0.318,0.35,0.129,99.434,322547,spotify:track:1mYPdmzGjsYpWnFF2XO3MJ,no,2005
Jean Leloup,Alger,0.793,0.892,7,-5.626,1,0.171,0.109,0,0.0695,0.816,108.287,208787,spotify:track:4knSB7lhQAtO6UqUeaGox8,no,2005
Fleece,Aliens,0.426,0.502,1,-11.085,0,0.0296,0.582,0.206,0.123,0.153,130.018,254852,spotify:track:27U2Idl2Jl63dltNrgP6rm,no,2015
Brazilian Girls,All About Us,0.729,0.767,3,-6.809,0,0.0621,0.121,0.0294,0.0839,0.748,119.965,240360,spotify:track:22ZIa4vKhUFzb4YZqp7g94,no,2006
Humble Braggers,All Alone,0.432,0.796,0,-9.39,1,0.0546,0.000613,1.79e-05,0.239,0.183,119.997,216911,spotify:track:5GRhjCK4XgTajZvcP8FsRw,no,2015
The Whitest Boy Alive,All Ears,0.457,0.0952,2,-15.476,1,0.0413,0.693,0.032,0.113,0.138,139.432,199760,spotify:track:2hkfe7ug1Wabzapt5HQec4,no,2006
Nick Galemore,All Goes Wrong,0.665,0.809,9,-8.263,1,0.0391,0.0382,0.855,0.378,0.472,120.009,482223,spotify:track:1Lwux3cAXrUG3UWjUEGteT,no,2016
Vance Joy,All I Ever Wanted,0.518,0.624,0,-6.134,1,0.0256,0.0312,0.000171,0.131,0.241,87.565,216880,spotify:track:62nFeTispaiYq1KzGrONsl,no,2014
Radiohead,All I Need,0.668,0.477,4,-8.709,0,0.0358,0.517,0.446,0.139,0.0966,88.005,228747,spotify:track:51ygW389BW4Dut3B69pSwc,no,2007
Bahamas,All I've Ever Known,0.669,0.203,5,-11.059,1,0.0317,0.706,0.221,0.107,0.265,125.864,375973,spotify:track:0MOMLuhHqNgJ7uAceOPmfj,no,2014
The Beatles,All I've Got To Do - Remastered 2009,0.49,0.579,1,-10.301,0,0.0344,0.217,0,0.0644,0.879,119.403,122573,spotify:track:5tztLBvTlNC15Np2tnQ5Ll,no,1963
Björk,All Is Full of Love,0.481,0.49,6,-10.098,1,0.0271,0.0536,0.123,0.0915,0.0378,152.04,287000,spotify:track:3rrtbnOBDzKQfyYKTezEFe,no,2002
Rita Lee,All My Loving,0.701,0.182,2,-17.068,1,0.0381,0.835,0.0276,0.109,0.125,117.885,185733,spotify:track:5dIZa3pwSn1vDenZpSBEFO,no,2006
The Beatles,All My Loving - Anthology 1 Version,0.261,0.805,0,-5.722,0,0.0408,0.0436,0,0.375,0.858,155.586,139333,spotify:track:2vCsB0tzKlAtsSwB4NBprX,no,1995
The Beatles,All My Loving - Live / Remastered,0.203,0.663,1,-8.037,0,0.0349,0.0203,0,0.899,0.725,169.994,135253,spotify:track:7j021TxcicWprdXpCcMBeH,no,2016
The Beatles,All My Loving - Remastered 2009,0.416,0.563,1,-8.724,0,0.0298,0.207,0,0.343,0.9,77.56,127853,spotify:track:4joiWvli4qJVEW6qZV2i2J,no,1963
LMFAO,All Night Long,0.652,0.829,5,-4.982,0,0.0499,0.141,0,0.0971,0.438,130.915,227067,spotify:track:2NsQgzcCEy9hZbHaBG4Xfy,no,2011
Lionel Richie,All Night Long (All Night) - Single Version,0.739,0.576,1,-12.024,1,0.0472,0.122,0.00206,0.0482,0.78,108.81,260427,spotify:track:2Wb9ejnmy27DUTUe9YF5Ew,no,2003
Plants and Animals,All Of The Time,0.55,0.751,11,-7.818,0,0.0754,0.225,0.345,0.133,0.347,144.296,219618,spotify:track:1zwB5h9WqvAlOTOUapSNSe,no,2016
WhoMadeWho,All That I Am,0.607,0.811,0,-6.618,1,0.0443,0.033,0.354,0.376,0.339,118.987,331507,spotify:track:6g4jkJItHpKs8Ljwt0EEMx,no,2011
Bahamas,All The Time,0.711,0.468,4,-4.797,0,0.0515,0.63,0.00427,0.087,0.533,127.458,234973,spotify:track:40WXqoyOLAAugGmJWZU1FY,no,2014
The Strokes,All The Time,0.403,0.883,2,-6.054,1,0.0745,8.44e-05,0.65,0.126,0.078,141.945,181373,spotify:track:7uFZNMEZzAGOwQ6EZID1K4,no,2013
Sufjan Stevens,All the Trees of the Field Will Clap Their Hands,0.632,0.225,4,-13.423,1,0.0296,0.984,0.74,0.112,0.683,144.641,254053,spotify:track:5OojmQ36TXkfL2JfoFJcaq,no,2004
The Killers,All These Things That I've Done,0.557,0.728,6,-6.181,1,0.0405,0.00156,5.13e-06,0.118,0.216,118.241,301573,spotify:track:0kYUrLVQOfx21xuXu7OGrT,no,2004
The Beatles,All Things Must Pass - Anthology 3 Version,0.492,0.231,9,-13.476,1,0.0368,0.972,6.16e-06,0.229,0.61,93.232,184987,spotify:track:25RYJGPnetSkV8le7TeJnR,no,1996
Bahamas,All Time Favourite,0.378,0.254,7,-12.694,1,0.0399,0.891,0.00489,0.109,0.19,123.885,249320,spotify:track:7hneDPwMWHSDxFZTaiGbaT,no,2014
The Beatles,All Together Now - Remastered 2009,0.587,0.431,2,-9.495,1,0.0686,0.0722,0,0.561,0.778,95.937,130893,spotify:track:2ck8lFrYAch2GPtdhpTHe3,no,1969
Perfume Genius,All Waters,0.126,0.277,1,-12.954,0,0.0304,0.936,0.00212,0.345,0.0688,88.611,130200,spotify:track:6ZMu3XuSt70jbJa7OfHN7X,no,2012
Brazilian Girls,All We Have,0.613,0.821,0,-8.534,1,0.0344,0.00855,0.783,0.0869,0.46,101.99,226640,spotify:track:7BYRb9EJ90vcBmTHMvmQvm,no,2005
The Beatles,All You Need Is Love,0.372,0.532,7,-7.968,1,0.0314,0.232,0,0.0951,0.727,102.627,220045,spotify:track:3oGGipilQmZTol8qFTR6u1,no,2006
The Beatles,All You Need Is Love - Remastered 2009,0.4,0.463,7,-8.455,1,0.0288,0.345,4.59e-05,0.286,0.627,103.103,231213,spotify:track:2Z8cY4QpZTFUZxCQCpvNe1,no,1969
The Beatles,All You Need Is Love - Remastered 2009,0.389,0.436,7,-9.7,1,0.0295,0.343,3.2e-05,0.258,0.692,100.371,228653,spotify:track:6tzFM08UuwxhuftjfUqaQA,no,1973
The Beatles,All You Need Is Love - Remastered 2009,0.4,0.48,7,-7.768,1,0.0295,0.346,3.1e-05,0.155,0.653,103.436,230387,spotify:track:68BTFws92cRztMS1oQ7Ewj,no,1967
The Beatles,All You Need Is Love - Remastered 2015,0.397,0.625,7,-5.829,1,0.0347,0.437,5.47e-06,0.263,0.676,104.54,227760,spotify:track:6KqiVlOLfDzJViJVAPym1p,no,2000
Ariane Moffatt,All Yours,0.719,0.638,11,-6.311,1,0.0274,0.0381,7.5e-05,0.155,0.589,112.034,154067,spotify:track:6Ul9vDvJrFNlCQpFvXSLr9,no,2012
Lester Young,Almost Like Being In Love,0.697,0.103,0,-14.972,1,0.0967,0.962,0.561,0.0806,0.464,129.535,214627,spotify:track:7jgVqaSm3zrJlFrhVYiZj9,no,1997
The Strokes,"Alone, Together",0.511,0.855,7,-5.752,1,0.0307,0.00782,0.89,0.0694,0.962,142.985,188314,spotify:track:4pXyK9GW7fuT645U0DLYYF,no,2001
The Strokes,"Alone, Together",0.515,0.863,7,-5.756,1,0.0308,0.00786,0.893,0.0616,0.961,143.017,188640,spotify:track:4UmJMAY5TqXPAnsDW1Mci7,no,2001
Sufjan Stevens,Alphabet St.,0.808,0.839,7,-8.966,1,0.108,0.642,0.0805,0.0818,0.856,99.986,96293,spotify:track:13Q8MH3xSfIyXSVIQpIl8H,no,2012
Bahamas,Already Yours,0.64,0.291,0,-12.42,1,0.0419,0.619,0.304,0.114,0.538,123.456,125547,spotify:track:6gyUiLI8CLSy9UIAiHcJ2j,no,2009
Tame Impala,Alter Ego,0.31,0.844,0,-3.582,1,0.0497,0.0142,0.224,0.0914,0.206,129.111,287613,spotify:track:2Zy9cf5v1tWFDmXTbahAU8,no,2010
Alabama Shakes,Always Alright,0.693,0.62,9,-6.509,1,0.0424,0.784,0.844,0.112,0.571,106.346,249170,spotify:track:17Jg504RgNPNgdpRkJh9Co,no,2013
Cage The Elephant,Always Something,0.693,0.947,5,-5.22,0,0.0437,0.000886,1.67e-05,0.256,0.917,119.983,221947,spotify:track:7lWrbqRzkjLIv9SGHUDDnL,no,2011
Michael Kiwanuka,Always Waiting,0.43,0.405,10,-10.604,0,0.025,0.553,1.67e-05,0.0883,0.225,92.387,270178,spotify:track:5pxUPHdS1ItmLjU25AbYLg,no,2012
Other Lives,AM Theme,0.628,0.392,5,-11.613,1,0.026,0.406,0.000275,0.112,0.386,110.253,154000,spotify:track:2j2A7RwqpXtff83skQLzJg,no,2009
Radiohead,The Amazing Sounds of Orgy,0.323,0.628,1,-11.727,0,0.101,0.243,0.39,0.165,0.205,124.587,218493,spotify:track:4p9RKOnHojKDseLNZi6A93,no,2001
Electric Guest,Amber,0.652,0.573,8,-8.338,0,0.0513,0.0429,0.479,0.149,0.837,78.011,230773,spotify:track:6hUoWKThrEV9PtoPIio5TJ,no,2012
TRICOT MACHINE,Ambulance,0.435,0.703,3,-7.25,0,0.0754,0.535,0.000835,0.14,0.574,127.402,230747,spotify:track:67a946zFlPNDkdhi0YK7hG,no,2007
Purity Ring,Amenamy,0.586,0.841,1,-4.598,1,0.0341,0.0172,1.36e-05,0.203,0.446,145.986,207080,spotify:track:51UseDByqDUbRDQeRWqmhm,no,2012
Estelle,American Boy (feat. Kanye West),0.727,0.729,0,-2.99,1,0.326,0.171,0,0.07,0.512,117.932,284733,spotify:track:41on8RwRh22IHcChAN2gm8,no,2008
Electric Guest,American Daydream,0.666,0.473,5,-10.06,0,0.0454,0.154,0.00317,0.109,0.409,75.002,168627,spotify:track:7KBC17M7S7OOiuxpeKwBrM,no,2012
Coldplay,Amsterdam,0.269,0.176,3,-10.463,1,0.0296,0.836,0.0343,0.122,0.105,78.861,319360,spotify:track:2uQ4px5SPONsgcUpulywIQ,no,2002
The Beatles,And I Love Her - Anthology 1 Version,0.616,0.633,6,-6.404,0,0.0275,0.275,4.44e-05,0.173,0.857,118.849,112053,spotify:track:74Z5zhIzC2X2UQPS4OLNNp,no,1995
The Beatles,And I Love Her - Remastered 2009,0.767,0.331,1,-10.777,0,0.0337,0.64,0,0.0681,0.636,113.312,149693,spotify:track:65vdMBskhx3akkG9vQlSH1,no,1964
The Beatles,And Your Bird Can Sing - Take 2 / Anthology 2 Version,0.327,0.676,2,-9.007,1,0.0368,0.03,0.0164,0.0994,0.822,133.627,133413,spotify:track:4gBHbKEHw2QjmgYkS9ixKJ,no,1996
The Beatles,And Your Bird Can Sing - Remastered 2009,0.555,0.65,4,-6.936,1,0.0282,0.0067,0.0491,0.236,0.966,132.59,120493,spotify:track:4KRgqwb4kvBuTz1utbYxfb,no,1966
The Killers,"Andy, You're A Star",0.504,0.588,1,-4.35,0,0.0253,0.233,0.00466,0.148,0.712,84.126,194080,spotify:track:3Jm6PDqIputlpeg75EtDic,no,2004
Hozier,Angel of Small Death and the Codeine Scene,0.311,0.656,4,-6.752,1,0.0952,0.163,7.05e-06,0.126,0.297,188.171,218987,spotify:track:3wT3WDdQrsST19f1I08Z1N,no,2013
Hozier,Angel of Small Death and the Codeine Scene,0.52,0.643,4,-5.761,1,0.0432,0.198,7e-05,0.12,0.389,94.078,219213,spotify:track:7uY7jZs5srSx3xMmyCI48T,no,2014
Hozier,Angel of Small Death and the Codeine Scene - Live From Spotify London,0.594,0.2,6,-10.472,0,0.0622,0.928,0,0.673,0.415,92.821,210920,spotify:track:59o2b2BGgziNyPx9f3xnhA,no,2014
The Lumineers,Angela,0.669,0.56,4,-8.229,1,0.0309,0.652,0.000231,0.104,0.297,130.342,201787,spotify:track:0wO3tPeULKGfrArC50Apea,no,2016
Sufjan Stevens,Angels We Have Heard On High,0.445,0.168,7,-14.857,1,0.0392,0.858,0.307,0.36,0.487,99.231,52320,spotify:track:4IQcYP8p7Ts33ajSPkWktw,no,2012
Sufjan Stevens,Angels We Have Heard On High,0.599,0.223,0,-13.441,1,0.0313,0.953,0.0014,0.183,0.402,123.959,243947,spotify:track:27xdZ9J1uQPIOWR2yNe8Ey,no,2012
Miike Snow,Animal - Mark Ronson Extended Remix,0.879,0.764,1,-6.731,0,0.0599,0.103,0.467,0.644,0.949,116.417,298400,spotify:track:5Jj8wUicHq3X7nTXorseMr,no,2009
The Dø,Anita No!,0.726,0.578,11,-5.988,1,0.0639,0.657,0.000244,0.11,0.389,91.031,183710,spotify:track:6g3kSbl4ASleukET1mjgfp,no,2015
Fujiya & Miyagi,Ankle Injuries,0.777,0.728,11,-6.9,1,0.0316,0.000157,0.818,0.0942,0.569,136.999,304080,spotify:track:03K4RhOIVA6t2jhHOga4w8,no,2006
The Beatles,Anna (Go To Him) - Remastered 2009,0.608,0.565,2,-11.06,1,0.0336,0.635,0,0.0601,0.835,109.286,177133,spotify:track:2baEFuU0gQon0hgVRioI1o,no,1963
Mac DeMarco,Annie,0.369,0.401,9,-13.477,1,0.0382,0.826,0.948,0.11,0.474,176.662,207773,spotify:track:4m3jRZFptAhh3d0Qw4r9Vh,no,2013
Mac DeMarco,Annie,0.407,0.257,5,-18.183,1,0.0302,0.518,0.241,0.968,0.213,84.514,218802,spotify:track:4YOc7XAKizsjb2I6Io5P8j,no,2013
Mac DeMarco,Annie,0.562,0.744,1,-7.501,0,0.039,0.0972,0.463,0.135,0.561,94.468,190557,spotify:track:6o9Dt1j9ywLoX8B9dqRM5D,no,2012
Pink Floyd,"Another Brick in the Wall, Pt. 1",0.617,0.0457,0,-26.401,1,0.0344,0.937,0.641,0.0991,0.0967,99.48,192146,spotify:track:7K6xMPtAjTuLPNlJMLf5bS,no,1979
Pink Floyd,"Another Brick in the Wall, Pt. 2",0.694,0.394,0,-15.881,1,0.0428,0.0781,0.000677,0.247,0.719,104.126,238747,spotify:track:4gMgiXfqyzZLMhsksGmbQV,no,1979
Pink Floyd,"Another Brick in the Wall, Pt. 3",0.653,0.472,2,-14.797,1,0.0353,0.0554,6.45e-05,0.397,0.448,102.558,74411,spotify:track:5A7eooPKJHtr0UJmatjH4a,no,1979
WhoMadeWho,Another Day,0.763,0.675,1,-7.562,1,0.0328,0.091,0.0318,0.105,0.48,127.999,258653,spotify:track:1DrF8ELKgHN4WeEFeGmwoP,no,2014
The Beatles,Another Girl - Remastered 2009,0.516,0.638,9,-7.453,1,0.0314,0.238,0,0.333,0.822,88.657,125360,spotify:track:7hefVXaGsFPesbK6fKwS6F,no,1965
Mac DeMarco,Another One,0.694,0.407,1,-10.325,0,0.0276,0.821,0.021,0.106,0.719,147.684,160991,spotify:track:3pXAa69soxZ98bQ1gr18HO,no,2015
Pulp,Ansaphone - Demo previously unreleased,0.331,0.486,0,-7.452,1,0.04,0.292,0,0.384,0.336,184.954,246360,spotify:track:60d37Gxx8O05CH7E2JyN9z,no,1995
Feist,Anti-Pioneer,0.414,0.178,11,-10.557,0,0.0321,0.194,0.00412,0.125,0.036,87.728,333307,spotify:track:2cDvWgK22tolskQ4uiVxWb,no,2011
Loco Locass,Antiaméricanisme Primaire,0.776,0.773,4,-6.965,0,0.317,0.052,0,0.11,0.463,91.988,216960,spotify:track:63AIL0vOrm1i0DiBotDeb3,no,2004
Arcade Fire,(Antichrist Television Blues),0.448,0.952,7,-7.033,1,0.0441,0.685,0.00227,0.0688,0.818,79.332,310280,spotify:track:040YNRWisvvHqy1hUW2Kxe,no,2007
Loco Locass,Antigone,0.661,0.885,7,-6.738,1,0.113,0.0851,2.53e-06,0.388,0.794,91.967,258307,spotify:track:0R5LNRyQyAdgIrBSVXN4He,no,2004
Pink Floyd,Any Colour You Like,0.277,0.672,0,-12.582,1,0.0901,0.197,0.935,0.423,0.505,150.588,206429,spotify:track:6FBPOJLxUZEair6x4kLDhf,no,1973
Michael Kiwanuka,Any Day Will Do Fine,0.522,0.379,8,-11.737,1,0.0318,0.655,0,0.11,0.4,104.998,217808,spotify:track:5U7r8PAmvfILOMjmFeYlDL,no,2012
Bahamas,Any Other Way,0.431,0.239,0,-13.248,1,0.122,0.892,0,0.4,0.335,155.833,63213,spotify:track:6rZdXG8fkei9ksN46QrxXu,no,2012
The Beatles,Any Time At All - Remastered 2009,0.612,0.719,2,-7.026,1,0.0398,0.366,3.88e-06,0.437,0.744,141.016,131280,spotify:track:70XHAdaMaoLIOVb1hSaeJ4,no,1964
Tame Impala,Apocalypse Dreams,0.496,0.929,8,-2.279,1,0.0503,0.249,0.131,0.0677,0.267,127.998,356947,spotify:track:7qU7vhCPKhkDiJYGoboISc,no,2012
Tahiti Boy,Après l'aéroport,0.695,0.2,2,-17.895,0,0.0376,0.941,0.923,0.108,0.232,109.97,115000,spotify:track:1LADUenCei27c26JD0pg05,no,2016
Real Estate,April's Song,0.484,0.793,2,-7.588,1,0.0277,0.0829,0.974,0.142,0.638,138.749,212240,spotify:track:5oWCTlfSwQ1KDx9Ie6HzoI,no,2014
Rita Lee,"Aqui, Ali, Em Qualquer Lugar",0.609,0.261,4,-15.079,1,0.0304,0.822,1.12e-06,0.0798,0.376,92.059,149133,spotify:track:7LYqeyKiDMWPnU6tzfqSwE,no,2006
Arctic Monkeys,Arabella,0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,207357,spotify:track:2LdG9xtEzCho3jCr58M6cq,no,2013
Arctic Monkeys,Arabella,0.579,0.558,2,-6.986,1,0.0895,0.0202,1.26e-06,0.212,0.506,179.949,207357,spotify:track:7nzsY8vlnKdvGOEE0rjAXZ,no,2013
Dumas,Arizona,0.499,0.718,7,-6.805,1,0.026,0.152,0.00691,0.27,0.345,103.384,203813,spotify:track:6WFkH4SAXn4w9NxuPgIJnX,no,2003
Björk,Army of Me,0.541,0.748,10,-7.463,0,0.0288,0.0117,9.62e-05,0.0993,0.473,86.027,235533,spotify:track:4juNfpAxJSjVNVYS6z5afp,no,2002
